Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2011,08/27/11,08/19/11,"TitleMax of Illinois, Inc., Peoria, IL 61604",Worker was working at a cash loan facility and was stabbed to death.
FY 2011,08/27/11,08/20/11,"Delaware River Stevedores, Inc., Philadelphia, PA 19137",Worker unloading cargo died when he fell 45 feet inside a ship's hull.
FY 2011,08/27/11,08/20/11,"US Army Corps of Engineers, Fort Benning, GA 31905",Worker was inspecting a paving project at a military installation and was struck and killed by an asphalt truck.
FY 2011,08/27/11,08/22/11,"Independence Drilling, Inc., Gainesville, FL 32608",Worker was electrocuted when he hit an underground utility while drilling.
FY 2011,08/27/11,08/22/11,"K Reed Roofing, Union City, CA 94587",Roofer using a fall protection harness that was not tied off died when he fell more than 10 feet from a roof.
FY 2011,08/27/11,08/22/11,"Luna Landscape Service, San Clemente, CA 92672",Worker performing landscape work collapsed after complaining of chest pains and later died.
FY 2011,08/27/11,08/22/11,"Metropolitan Condominium Association, Irvine, CA 92612",Worker found unresponsive on work site later died from possible carbon monoxide exposure.
FY 2011,08/27/11,08/23/11,"Celestrial Landscaping & Construction, Inc., Lemont, IL 60439",Worker conducting tree felling operations slipped and fell 40 feet.
FY 2011,08/27/11,08/23/11,"Lumiere Place Casino & Hotel, St. Louis, MO 63102",Worker died after falling into an elevator shaft while trying to retrieve keys.
FY 2011,08/27/11,08/23/11,"M. Griffin Plumbing & Piping Co., Louisville, KY 40207",Worker using a backhoe to perform renovation work was pinned in an excavation site when a concrete window well fell on him.
FY 2011,08/27/11,08/24/11,"Cameron International, Ville Platte, LA 70586",Worker repairing a lathe machine was killed when his head was caught between a junction box and piece of iron.
FY 2011,08/27/11,08/24/11,"Mark Stephens dba Four S Farm, Raleigh, NC 27614",Worker was killed by a 70-foot tree that was knocked over by another tree being removed.
FY 2011,08/27/11,08/24/11,"Old Dominion Freight Line, Inc., San Antonio, TX 78219",Worker connecting the trailer's air lines was crushed between the trailer and a dolly.
FY 2011,08/27/11,08/25/11,"Emeritus Assisted Living, Grand Terrace, CA 92313",Worker died after falling about 40 feet while trimming a palm tree.
FY 2011,09/03/11,03/07/11,"Probuild LLC., Wichita, KS 67217",Worker was struck and killed by a forklift while standing in a loading yard.
FY 2011,09/03/11,08/11/11,"Permacolor Inc., Camarillo, CA 93012",Worker pulling metal pipe out of chimney was electrocuted after making contact with overhead powerlines.
FY 2011,09/03/11,08/12/11,"Pompei and Sons, Inc., Millsboro, PA 15333",Construction worker walking across a new roadway was struck and killed by a vehicle.
FY 2011,09/03/11,08/15/11,"Chimenti's Baking Company, Los Angeles, CA 90032",Worker opening the building was crushed when the facility's gate fell on him.
FY 2011,09/03/11,08/16/11,"Lancaster County Fire Service, Lancaster, SC 29720","Firefighter, who complained of chest pains and nausea after returning from a fire call, later died of cardiac arrest."
FY 2011,09/03/11,08/22/11,"Building Products Corporation, East Saint Louis, IL 62205",Employee working around the lower section of a conveyor belt was killed after being caught in the belt.
FY 2011,09/03/11,08/22/11,"IL Dept. of Transportation- District 1, Woodstock, IL 60098-3295",Worker struck and killed by a car while preparing for a roadway stripping operation.
FY 2011,09/03/11,08/22/11,"NextEra Energy Resources, Ocheyedan, IA 51354",Worker died after falling more than six feet through an unprotected hatch door in a wind tower.
FY 2011,09/03/11,08/23/11,"Garden Center Maintenance, Davis, OK 75030","Worker assembling a fabric building structure became ill and died, possibly from heat stroke."
FY 2011,09/03/11,08/23/11,"Stammerrama General Engineering, Rancho Mirage, CA 92270",Construction worker resurfacing road collapsed and died from possible heat stroke.
FY 2011,09/03/11,08/24/11,"Roach Brothers Painting Contractors, Inc., Pittsburgh, PA 15241",Worker died after falling nearly 40 feet from a roof without wearing fall protection.
FY 2011,09/03/11,08/24/11,"Springfield Golf Club, Fort Mill, SC 29715",Worker was struck and killed by a golf cart.
FY 2011,09/03/11,08/25/11,"Novak Construction, Monroe Twp., NJ 08831",Worker died after falling from the back of a moving pickup truck.
FY 2011,09/03/11,08/26/11,"Hocking Printing Co., Inc., Ephrata, PA 17522","Worker servicing an industrial riding mower was killed when the mower rolled forward from its parked position, striking the worker."
FY 2011,09/03/11,08/26/11,"UPS Ground Freight, Uniontown, PA 15401",Worker using a scissor lift to transfer parts into a trailer died after falling from the lift.
FY 2011,09/03/11,08/29/11,"Blattner Energy, Inc., Byron, CA 94514",Worker using bulldozer to cut roadway was ejected from and crushed by the machine after it rolled down a hillside.
FY 2011,09/03/11,08/29/11,"Old Orchard Country Club, Pittsfield, IL 62363","Worker was in the process of mowing when the lawn mower tipped over, crushing him."
FY 2011,09/03/11,08/30/11,"Active Staffing Services, LLC., Jersey City, NJ 07305",Worker was killed when 50-pound bags he was unloading struck him.
FY 2011,09/03/11,08/30/11,"ASI Technologies, Inc., Milwaukee, WI 53225","Worker was working on a press and the cable snapped, crushing his head."
FY 2011,09/03/11,08/30/11,"Gerace Construction Company, Inc., Rochester, NY 14620",Worker was crushed when a 35-ton crane he was operating tipped over.
FY 2011,09/03/11,08/31/11,"DA Services Hauling & Dumpsters, Martinez, CA 94553",Worker was crushed between dumpster's lift bed and frame.
FY 2011,09/03/11,08/31/11,"Liberty Denim, LLC, Liberty, SC 29657",Worker died when caught between rollers while working in a textile machine.
FY 2011,09/03/11,09/01/11,"Davey Tree Care, St. Peter, MN 56082",Worker was killed by a falling tree branch.
FY 2011,09/03/11,09/01/11,"Edison Park Fast, New York, NY 10036",Parking garage attendent retrieving a customer's car was crushed between the car and a vertical post.
FY 2011,09/03/11,09/01/11,"Miller Poultry, Orland, IN 46776",Worker processing chicken was crushed while using a press.
FY 2011,09/03/11,09/01/11,"Titan Drilling, LLC., Dumas, TX 79029",Worker was struck on the head and killed by the bottom of a blow-out preventer he was resetting.
FY 2011,09/10/11,05/25/11,"WB Sealcoating, Inc., dba Winberry Blacktop Sealcoat, Hendersonville, NC 28792",Road paving worker died from hyperthermia after his body's temperature reached 108 degrees.
FY 2011,09/10/11,07/28/11,"BO-Nine Ranch LLC, Peoria, AZ 85383",Worker was killed when struck by a metal cable while riding an all-terrain vehicle.
FY 2011,09/10/11,08/12/11,"ACJ Construction Corp, Mayaguez PR 00680",Worker installing a pipe inside a 6-foot deep trench died after the trench walls collapsed on him.
FY 2011,09/10/11,08/23/11,"Coastal Catering, LLC., Mayersville, MS 39113",Employee was working aboard an uninspected work barge and fell overboard and drowned.
FY 2011,09/10/11,08/25/11,"Edgar Wayne Ellington, Madison, NC 27025",Worker died when his tractor went off the road and overturned while pulling a tobacco trailer.
FY 2011,09/10/11,08/25/11,"Inglett & Stubbs, LLC., Americus, GA 31709",Worker was electrocuted while installing light fixtures.
FY 2011,09/10/11,08/28/11,"Lazem Development Corp., Miami, FL 33313",Worker installing ceiling beams died after falling from a scaffold.
FY 2011,09/10/11,08/31/11,"D.W. Shouppe Coast dba B&M West Coast Co of TX LTD, Byron, GA 31008",Worker installing a diesel exhaust fuel system died from a heart attack after complaining of chest pains.
FY 2011,09/10/11,08/31/11,"J & A Loading, Inc., Naples, FL 34102",Worker unloading roof tiles from a delivery truck was run over by a forklift.
FY 2011,09/10/11,08/31/11,"R & R Metal Erectors, Marletta, GA 30063",Worker installing metal decking died after falling 40 feet from the roof.
FY 2011,09/10/11,09/01/11,"A-1 Tree Service, Bradenton, FL 34203","Worker trimming a tree died after falling 55 feet, head first, onto a concrete surface."
FY 2011,09/10/11,09/01/11,"Granger Roofing, Topeka, KS 66617","Worker was electrocuted when his aluminum ladder touched a 7,200-volt overhead powerline."
FY 2011,09/10/11,09/02/11,"Membrane Technology Research, Menlo Park, CA 94025",Worker died in an explosion while transferring compressed gas from one cyclinder to another.
FY 2011,09/10/11,09/03/11,"Shultz Steel Company Inc., South Gate, CA 90280",Worker died from head injuries after falling 19 feet into a service pit.
FY 2011,09/10/11,09/03/11,"WM Contractor, Houston, TX 77028",Worker taking measurements while walking backwards on a roof died after he fell 30 feet without fall protection.
FY 2011,09/10/11,09/04/11,"Clement B Rozanski, Pleasantville, NY 10570",Worker cutting down a tree died when a large section of the tree fell and struck him.
FY 2011,09/10/11,09/05/11,"Jessica Rodriguez, Patterson, CA 95363",Worker harvesting peaches died from possible drowning when he drove into an aquaduct.
FY 2011,09/10/11,09/05/11,"Tiller Sanitation, Farmland, IN 47340",Worker was struck and killed by a sanitation truck.
FY 2011,09/10/11,09/06/11,"CMC Steel Arkansas, Magnolia, AR 71753",Worker was killed when his lanyard became tangled in a rotating shaft pulling him into the equipment.
FY 2011,09/10/11,09/06/11,"MaxYield Cooperative, Dickens, IA 51333",Worker suffocated after being engulfed in corn inside a grain bin.
FY 2011,09/10/11,09/07/11,"Fabrication International Inc., Houston, TX 77093","Worker using an aerial lift to detach rigging was killed when a derrick hit the aerial lift basket, throwing the worker more than 20 feet."
FY 2011,09/10/11,09/07/11,"Liverpool Coil Processing Division, Valley City, OH 44280",Worker died after his head was caught between steel coil and another piece of equipment.
FY 2011,09/10/11,09/08/11,"Caterpillar, Inc., Milwaukee, WI 53172",Worker was crushed by a crawler piece that fell from a sling.
FY 2011,09/10/11,09/08/11,"Freshmark Meat Plant, Canton, OH 44705",Worker was electrocuted when he plugged a floor fan into an outlet while standing in water.
FY 2011,09/10/11,09/08/11,"Full Throttle Oil Field Services, Wilson, OK 73463",Worker was struck and killed by a pump jack weight.
FY 2011,09/10/11,09/08/11,"Undetermined Company Name, Los Angeles, CA 90011",Worker performing maintenance underneath a bus was crushed when the bus fell off the jacks.
FY 2011,09/10/11,09/08/11,"Williams Brothers Construction Company, Inc., Lake Jackson, TX 77566",Worker was crushed by a front end loader while working on a highway drainage inlet.
FY 2011,09/17/11,06/08/11,"Cairo Coop Equity Exchange, Cunningham, KS 67035",Worker transferring herbicide into a tank was sprayed by the chemical and died three months later.
FY 2011,09/17/11,07/24/11,"Brown Logging, Inc., Hiawassee, GA 30546",Worker was killed when a 60-foot tree he was cutting fell on him.
FY 2011,09/17/11,09/01/11,"SKF USA Incorporated, Hanover, PA 17331",Worker died after he was severely burned by a molten salt mixture following an explosion.
FY 2011,09/17/11,09/02/11,"A C Morrison Farms LLC, Lillington, NC 27526-9581",Worker fell ill from possible heat stress while working in a tobacco field.
FY 2011,09/17/11,09/09/11,"Dan Williams dba Dan Williams Roofing, Whitakers, NC 27891",Worker repairing a building roof was electrocuted when an aluminum bar he was installing touched an electric powerline.
FY 2011,09/17/11,09/09/11,"Express Glass and Mirror, Inc., Los Angeles, CA 90015",Worker was fatally injured when he fell 15 feet through a 4-foot by 4-foot unguarded opening in a glass catwalk.
FY 2011,09/17/11,09/09/11,"Liberty Swabbing Inc., Raymondville, TX 78580",Worker was killed when pressure released from a wellhead struck him in the abdomen.
FY 2011,09/17/11,09/09/11,"Sanchez Corporation, Albertson, NY 11507",Worker cutting tree branches died after falling nearly 40 feet to the ground.
FY 2011,09/17/11,09/09/11,"Walsh & Kelly, Griffith, IN 46319",Worker struck by pieces of a large tire that exploded while adding air to it.
FY 2011,09/17/11,09/10/11,"Ross Stores Inc - Moreno Valley DC, Moreno Valley, CA 92551",Worker driving a golf cart was pinned after losing control and driving under a tractor trailer parked behind the warehouse.
FY 2011,09/17/11,09/12/11,"Stella-Jones, Inc., Warrior, AL 35180",Worker was caught in or between rotating machinery during cleaning operations.
FY 2011,09/17/11,09/13/11,"Ashton Inc., Baton Rouge, LA 70815",Worker on a riding mower struck a large pipe and was pinned between the pipe and the mower.
FY 2011,09/17/11,09/13/11,"Bath Magic, Inc., Toledo, OH 43614","Worker for a bathtub reglazing company was found deceased, slumped over a bathtub and wearing a half mask tight-fitting respirator; cause of death is suspected asphyxiation from methylene chloride in the stripping compound."
FY 2011,09/17/11,09/13/11,"J. B. James Construction Company, LLC, Hosston, LA 71043",Worker repaving a roadway was run over and killed by a dump truck.
FY 2011,09/17/11,09/13/11,"Sam Critchelow dba Critchelow Backhoe Service, Hardinsburg, KY 40143",Worker jumped out of a sliding backhoe and was killed when the backhoe's bucket struck and landed on top of him.
FY 2011,09/17/11,09/14/11,"J.C. Masonry and Concrete Pumping, Inc., La Follette, TN 37766",Worker laying bricks while standing on a scaffold died after falling 35 feet when a scaffold plank shifted.
FY 2011,09/17/11,09/14/11,"Verizon Communications, Brooklyn, NY 11212",Worker making electrical repairs was electrocuted when he touched a live wire.
FY 2011,09/17/11,09/15/11,"Network Construction Company, Inc., Atlantic City, NJ 08401",Worker pouring concrete on building's roof was struck and killed by lightning.
FY 2011,09/17/11,09/16/11,"Cardinal Health, Groveport, OH 43125",Worker using a forklift was killed after being pinned against a support beam.
FY 2011,09/24/11,08/12/11,"Merry Maids, Mansfield, TX 76063",Worker cleaning a residence collapsed and died after hitting her head.
FY 2011,09/24/11,08/16/11,"Bailey Farms Intl LLC, Ephraim, UT 84627",Worker was crushed between the stacker and support brace while operating a hay press.
