Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe,Inspection #,,,,,,,,,,,,,
5/27/2014,"NJ Advance Construction LLC, Lakewood, NJ 08701",Worker crushed when bulldozer overturned.,Fatality,,,,,,,,,,,,,,
5/27/2014,"Stride Well Services, Gainesville, TX 76240",Two workers killed in a motor vehicle collision.  ,Fatality,,,,,,,,,,,,,,
5/24/2014,"Angel's AAA Electric LLC, Harlingen, TX 78550",Worker killed in  fall from a makeshift wooden platform.,Fatality,,,,,,,,,,,,,,
5/24/2014,"Mike's Testing & Salvage Inc., Chase, KS 67524",Worker killed in motor vehicle collision.,Fatality,,,,,,,,,,,,,,
5/23/2014,"City Glass and Upholstery, Inc., Tacoma, WA 98402",Worker struck and killed by motor vehicle while loading a work truck. ,Fatality,,,,,,,,,,,,,,
5/23/2014,"International Erectors Inc., Chicago, IL 60616",Worker struck and killed by a load of concrete that fell from the crane he was operating.,Fatality,,,,,,,,,,,,,,
5/23/2014,"Team Staffing Solutions, Muscatine, IA 52761",New worker killed after becoming trapped between steel bar and carriage of pallet machine.,Fatality,,,,,,,,,,,,,,
5/22/2014,"Contact Construction LLC, Washington, DC 20002",Worker killed when the walls of a foundation excavation collapsed. ,Fatality,,,,,,,,,,,,,,
5/22/2014,"Nuvo Construction Company Inc., Milwaukee, WI 53207",Worker killed after being caught between a material hopper and guardrail.,Fatality,,,,,,,,,,,,,,
5/22/2014,"Quapaw Co., Stillwater, OK 74078",Worke operating a box blade tractor killed in a collision with a semi tractor-trailer.,Fatality,,,,,,,,,,,,,,
5/22/2014,"United Parcel Service, Louisville, KY 40213",Worker killed in fall while transferring packages on to belt loader.,Fatality,,,,,,,,,,,,,,
5/21/2014,"ENB Logging & Construction, Inc., Boistfort, WA 98572",Worker struck and killed by skyline carriage as it was being lowered.,Fatality,,,,,,,,,,,,,,
5/20/2014,"Animal Health International, Memphis, TN 38118",Worker killed in fall from a cherry picker.,Fatality,,,,,,,,,,,,,,
5/20/2014,"Charland Construction Inc., Fort Lauderdale, FL 33304",Worker killed in fall from catwalk at construction site.,Fatality,,,,,,,,,,,,,,
5/20/2014,"Coamo Spring Resort Coamo, PR 00936",Worker killed in fall from lift basket.,Fatality,,,,,,,,,,,,,,
5/20/2014,"Codino's Limited Inc., Versailles, OH 45380",Worker died from fall into a dough extruder machine.,Fatality,,,,,,,,,,,,,,
5/20/2014,"Conco, San Mateo, CA 94401",Worker killed after falling from top of a wall.,Fatality,,,,,,,,,,,,,,
5/20/2014,"M.J. Electric, LLC, Dexter, IA 50010",Worker killed in fall from man basket.,Fatality,,,,,,,,,,,,,,
5/20/2014,"Mermaid Forest Products Inc., Kaukauna, WI 54130",Worker struck and killed by falling tree limb.,Fatality,,,,,,,,,,,,,,
5/20/2014,"Norco Corporation, Decatur, TX 76234",Worker was struck and killed by a forklift.,Fatality,,,,,,,,,,,,,,
5/19/2014,"GDC Construction (subsidiary of Crossing Place Transport), Arlington, VA 22101",Worker crushed and killed when the excavator he was operating fell over. ,Fatality,,,,,,,,,,,,,,
5/19/2014,"Johnson Brass & Machine Foundry Inc., Saukville, WI 53080",Four workers hospitalized for burns after being sprayed with molten metal.,Catastrophe,,,,,,,,,,,,,,
5/19/2014,"Mid-West Mfg LLC, Chicago Heights, IL 60411",Crane operator was struck and killed by payload while tranfering it from one cart to another.,Fatality,,,,,,,,,,,,,,
5/19/2014,"NYSDOCCS Groveland Correctional Facility, Sonyea, NY 14556",Four workers hospitalized after being exposed to smoke from overheated AC unit fan motor.,Catastrophe,,,,,,,,,,,,,,
5/18/2014,"Hard Rock Equipment Rentals, Riverside, CA 92879",Worker killed when the train bridge he was working on collapsed.,Fatality,,,,,,,,,,,,,,
5/17/2014,"(Establishment name not provided), Boonville, CA 95415",Worker struck and killed by a tree limb.,Fatality,,,,,,,,,,,,,,
5/17/2014,"Axiom Services LLC, Austin, TX 78745",Worker killed in fall from rooftop.,Fatality,,,,,,,,,,,,,,
5/17/2014,"Connor Logging, Sparta, WI 54656",Worker struck and killed by a falling tree.,Fatality,,,,,,,,,,,,,,
5/17/2014,"Kemper Construction, LLC, Carrollton, KY 41008",Worker killed when falling door knocked him into a cement plant mixer.,Fatality,,,,,,,,,,,,,,
5/17/2014,"US Postal Service, Gregory, SD 57533",Postal carrier was killed in a motor vehicle collision.,Fatality,,,,,,,,,,,,,,
5/16/2014,"Cliff's Trucking Inc., Clewiston, FL 33440",Worker crushed and killed when vibratory roller overturned.,Fatality,,,,,,,,,,,,,,
5/16/2014,"Powder Coating Services, Inc., Gastonia, NC  28052", Worker killed in fall through mezzanine opening.,Fatality,,,,,,,,,,,,,,
5/15/2014,"Gerdau Ameristeel US Inc., Knoxville, TN 37921",Workes were conducting blast furnace operations when an explosion ocurred. Six workers were hospitalized for third degree internal and external burns.,Catastrophe,,,,,,,,,,,,,,
5/15/2014,"Lee Tvedt Trucking, Inc., Bill, WY 82631",Worker struck and killed by trailer hitch.,Fatality,,,,,,,,,,,,,,
5/15/2014,"Optimum, Oakdale, NY 11769",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
5/14/2014,"Liquid Transport Corp., Winchester, KY 40391",Worker was killed in fall from oil tanker truck.,Fatality,,,,,,,,,,,,,,
5/14/2014,"Rob Joe Materials LLC, Caddo, TX 76429",Worker struck and killed by truck.,Fatality,,,,,,,,,,,,,,
5/14/2014,"William Bernal, Houston, TX 77057",Worker died after being pinned between 18-wheeler trailer and loading dock.,Fatality,,,,,,,,,,,,,,
5/13/2014,"Daniel Tatum, Mountain Brook, AL 35253",Worker crushed and killed by falling safe.,Fatality,,,,,,,,,,,,,,
5/13/2014,"Gibney's Tree Expert, LLC Merritt Island, FL 32953",Worker was struck and killed by a tree limb. ,Fatality,,,,,,,,,,,,,,
5/12/2014,"Alford Logging Company, Bradyville, TN 37026",Worker struck and killed by a felled tree.,Fatality,,,,,,,,,,,,,,
5/12/2014,"Elite Storage Equipment Erectors Inc., McDonough, GA 30253",Warehouse worker killed in fall from scaffolding.,Fatality,,,,,,,,,,,,,,
5/12/2014,"JAG Construction LLC, Minot, ND 58703",Worker installing plywood sheathing killed in fall from a multi-story roof.  ,Fatality,,,,,,,,,,,,,,
5/12/2014,"Sutton Pump & Supply, New Philadelphia, OH 44663",Worker performing welding operations was killed in an oil tank explosion.,Fatality,,,,,,,,,,,,,,
5/11/2014,"Crane Service Inc., El Paso, TX 79901",Two workers assembling a crane struck and killed by a motor vehicle.,Fatality,,,,,,,,,,,,,,
5/11/2014,"Roman Urethane Corporation, Toughkenamon, PA 19374",Worker killed in fall through a roof skylight.,Fatality,,,,,,,,,,,,,,
5/11/2014,"Wooldridge Boats Inc., Seattle, WA 98178",Worker exposed to aluminum dust died from respiratory disease.,Fatality,,,,,,,,,,,,,,
5/10/2014,"Hillshire Brands Co., Zeeland, MI 49464",Worker cleaning conveyor was killed when glove became caught in the equipment.,Fatality,,,,,,,,,,,,,,
5/9/2014,"Reith Riley Construction, Indianapolis, IN 46259",Two workers  struck and killed by motor vehicle while picking up highway warning cones.,Fatality,,,,,,,,,,,,,,
5/8/2014,"Cal Ark Inc., Cotulla, TX 78014",Worker struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
5/8/2014,"Hawkins-Graves Inc., Lynchburg VA 24501",Worker struck and killed by metal shard.,Fatality,,,,,,,,,,,,,,
5/8/2014,"Infirmary Health System, Mobile, AL 36607",Worker struck and killed by fire extinguisher that discharged during inspection.,Fatality,,,,,,,,,,,,,,
5/7/2014,"Regions Bank, Cape Girardeau, MO 63703",Worker killed in fall down stairs. ,Fatality,,,,,,,,,,,,,,
5/7/2014,"Sign Service & Installations Inc. , Orlando, FL 32807",Worker killed in fall from man basket while erecting a sign. ,Fatality,,,,,,,,,,,,,,
5/6/2014,"Atlas Roofing Corporation, Ardmore, OK 73401",Worker performing reroofing was killed in fall through roof.  ,Fatality,,,,,,,,,,,,,,
5/6/2014,"Craftsmen On-Site Services LLC, Shawnee, KS 66227",Worker killed in fall from moving golf cart.,Fatality,,,,,,,,,,,,,,
5/6/2014,"Parchman Construction Company, Cumberland City, TN 37050","Worker died when truck fell off an embankment.  
",Fatality,,,,,,,,,,,,,,
5/6/2014,"Superior Graphite Co., Hopkinsville, KY 42240",Worker was struck and killed by a bag of graphite that fell from a forklift. ,Fatality,,,,,,,,,,,,,,
5/6/2014,"Tank Services LLC, Corona, CA 92882",One worker killed and another hospitalized when petroleum tank exploded during repairs.  ,Fatality,,,,,,,,,,,,,,
5/5/2014,"Cardinal Energy Services, Monahans, TX 79756",Worker killed in a motor vehicle collision. ,Fatality,,,,,,,,,,,,,,
5/5/2014,"CBT Services, Inc., Plymouth, NC 27962",Worker struck and killed by a pressurized hydraulic line that burst.,Fatality,,,,,,,,,,,,,,
5/5/2014,"Guyer Brothers Incorporated, Ursina, PA 15485",Worker crushed and killed by manhole frame.,Fatality,,,,,,,,,,,,,,
5/5/2014,"MCM Management Corp., Sparrows Point, MD 21219",Nine workers performing asbestos abatement were hospitalized after roof collapse.,Catastrophe,,,,,,,,,,,,,,
5/5/2014,"Renovo Services Inc., Pensacola, FL 32504",Worker was struck and killed by vehicle.  ,Fatality,,,,,,,,,,,,,,
5/4/2014,"Aggressive Transport, LTD USA, Spanaway, WA  98387",Worker died from injuries after falling from a trailer truck cab.,Fatality,,,,,,,,,,,,,,
5/4/2014,"Big M Transportation Inc., Counce, TN  38326",Worker crushed between trailers.,Fatality,,,,,,,,,,,,,,
5/4/2014,"Feld Entertainment Inc., Providence, RI 02903",Eight circus aerial performers hospitalized from fall when a carabiner failed.,Catastrophe,,,,,,,,,,,,,,
5/4/2014,"Further Diving Co., Port Angeles, WA 98362",Worker drowned while diving for clams.,Fatality,,,,,,,,,,,,,,
5/4/2014,"Millers General Repair, Clare, MI  48617",Worker killed after his shirt became caught in a lathe.,Fatality,,,,,,,,,,,,,,
5/3/2014,"Eagle View Farms LLC, Buhl, ID 83316",Worker killed when vehicle tipped over on top of him.,Fatality,,,,,,,,,,,,,,
5/3/2014,"S.M. Duggan Towing LLC, Ocala, FL 34470",Roadway worker struck and killed by vehicle.,Fatality,,,,,,,,,,,,,,
5/2/2014,"F & S Concrete, Keller, TX 76248",Worker struck and killed by a truck backing up.,Fatality,,,,,,,,,,,,,,
5/2/2014,"M and W Logistics, Hoover, AL 35216",Worker struck and killed by vehicle in road construction zone.,Fatality,,,,,,,,,,,,,,
5/2/2014,"Time Warner Cable Southeast, LLC, Charlotte, NC 28273                              ",Worker electrocuted when aerial lift contacted an overhead power line.,Fatality,,,,,,,,,,,,,,
5/2/2014,"True Blue Inc., Orlando, FL 32805",Worker struck and killed by dump truck.,Fatality,,,,,,,,,,,,,,
5/2/2014,"ZJ Falcon LP, Kermit, TX 79745",Worker killed in a vehicular collision.,Fatality,,,,,,,,,,,,,,
5/2/2014,"Z-Weldco Inc., Robesonia, PA 19551",Worker struck and killed by falling object while engaged in welding operations. ,Fatality,,,,,,,,,,,,,,
5/1/2014,"American Safety Services, Loco Hills, NM  88255",Worker servicing a well rig struck and killed by flooring when the cable supporting it broke. ,Fatality,,,,,,,,,,,,,,
5/1/2014,"Barnett's Towing, LLC, Sierra Vista, AZ 85635",Worker crushed between tow truck and trailer.,Fatality,,,,,,,,,,,,,,
5/1/2014,"Piiholo Ranch Zipline, Makawao, HI 96768",Worker died in fall from a zipline.,Fatality,,,,,,,,,,,,,,
4/30/2014,"AmeriFlow Energy Services LLC , Orla, TX 79770",Two workers killed when a sand separator exploded.,Fatality,,,,,,,,,,,,,,
4/30/2014,"Epics Plastics,  Lodi, CA 95240",Worker killed after falling into auger.,Fatality,,,,,,,,,,,,,,
4/30/2014,"Rule Steel Tanks Inc., Caldwell, ID 83605",Worker struck and killed by a piece of steel.,Fatality,,,,,,,,,,,,,,
4/30/2014,"SpartanNash, Cincinnati, OH 45242",Worker operatiing in loading dock area killed after being pinned  between wall and dock plate.,Fatality,,,,,,,,,,,,,,
4/29/2014,"Baxter Lumber Company, Deputy, IN 47230",Worker struck and killed by log.,Fatality,,,,,,,,,,,,,,
4/29/2014,"Compania de Parques Nacionales, Cabo Rojo, PR 00626",Worker inside a boom truck bucket was killed when the truck overturned.,Fatality,,,,,,,,,,,,,,
4/29/2014,"Gloucester Terminals LLC, Gloucester City, NJ 08030",Worker crushed under a ship's equipment elevator.,Fatality,,,,,,,,,,,,,,
4/29/2014,"Home Depot USA Inc., West Palm Beach, FL 33411",Worker rearranging shelves died after fall from ladder.,Fatality,,,,,,,,,,,,,,
4/29/2014,"Keep-It Storage,  Grass Valley, CA  95945",Worker killed in fall from scaffold.,Fatality,,,,,,,,,,,,,,
4/29/2014,"Werner Enterprises, Westley, CA 95387",Worker killed when vehicle rolled down embankment.,Fatality,,,,,,,,,,,,,,
4/29/2014,"Womble Company Inc., Houston, TX 77015",Worker died in fall from pipe rack.,Fatality,,,,,,,,,,,,,,
4/28/2014,"Bruening Rock Products Inc., Dubuque, IA 52003",Worker killed when dump truck rolled over.,Fatality,,,,,,,,,,,,,,
4/28/2014,"Milan Manufacture Inc., Hialeah Gardens, FL 33018",Worker crushed and kille by wood stock pile.,Fatality,,,,,,,,,,,,,,
4/28/2014,"Royal Palm Development Corp, Surf City, NC 28445",Worker killed when trackhoe flipped over.,Fatality,,,,,,,,,,,,,,
4/28/2014,"Science Applications International Corp., Coronado, CA 92178",Diver drowned while conducting sea lion training. ,Fatality,,,,,,,,,,,,,,
4/28/2014,"Traffic & Lighting Systems LLC, Tulsa, OK 74108",Two workers struck and killed by vehicle in a construction work zone.,Fatality,,,,,,,,,,,,,,
4/27/2014,"Wonton Food Corporation, Houston, TX 77004",Worker operating noodle making machine died after being trapped in tub.,Fatality,,,,,,,,,,,,,,
4/26/2014,"Appletown Construction, LLC, Flat Rock, NC 28731",Worker killed in fall.,Fatality,,,,,,,,,,,,,,
4/26/2014,"Georgia-Pacific LLC, Corrigan, TX 75939",Four workers hospitalized from exposure to explosion and fire.,Catastrophe,,,,,,,,,,,,,,
4/25/2014,"Bison Drilling & Field Services, Pecos, TX 79772",Worker struck and killed by falling catwalk.,Fatality,,,,,,,,,,,,,,
4/25/2014,"Sierra Chemical Company, Sparks, NV 89431",Worker killed when bulk container exploded during pressuring.,Fatality,,,,,,,,,,,,,,
4/25/2014,"Turner County Dairy, Parker, SD 57053",Worker died after being pinned in skid steer loader.,Fatality,,,,,,,,,,,,,,
4/25/2014,"Yerba Mala Landscaping, Inc., Mayaguez, PR 00681",Worker killed in fall from aerial lift after the basket was hit by a branch.,Fatality,,,,,,,,,,,,,,
4/25/2014,"Yuba City Unified School District, Yuba City, CA 95991",Worker killed in a truck collision.,Fatality,,,,,,,,,,,,,,
4/24/2014,"Charles Vernon Cowherd, Campbellsville, KY 42718",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
4/24/2014,"Complete General Construction Company, Proctorville, OH 45669",Worker engulfed inside excavation.,Fatality,,,,,,,,,,,,,,
4/24/2014,"Illini FS, Tolono, IL 61880",Worker struck and killed by train.,Fatality,,,,,,,,,,,,,,
4/24/2014,"Jackson Concrete Pumping, Dubuque, IA 52003",Worker cleaning a conveyor belt was killed when his shirt sleeve got caught in the belt roller.,Fatality,,,,,,,,,,,,,,
4/24/2014,"Key Energy Services, Morrilton, AR 72110",Three workers hospitalized after rig was struck by lighting. ,Catastrophe,,,,,,,,,,,,,,
4/24/2014,"MBI Trucking, Chicago, IL 60633",Worker struck and killed by vehicle.,Fatality,,,,,,,,,,,,,,
4/23/2014,"Bullard Contracting, Queensbury, NY 12804",Worker killed in fall from tree.,Fatality,,,,,,,,,,,,,,
4/23/2014,"W R Derrick & Co.  Lexington, SC 29072   ",Worker installing duct work killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
4/22/2014,"Department of Defense, Edgewood, MD 21040",Worker crushed by riding lawn mower.,Fatality,,,,,,,,,,,,,,
4/22/2014,"Infinity Maintenance Services LP, Point Comfort, TX 77978",Worker killed in fall from catwalk.,Fatality,,,,,,,,,,,,,,
4/22/2014,"NBC Oilfield Equipment Inc., Weimar, TX 78962",Three workers hospitalized when oil well separator exploded.,Catastrophe,,,,,,,,,,,,,,
4/22/2014,"Offshore Marina, Inc., Lake Powell, UT 84533",Worker performing welding was killed in explosion.,Fatality,,,,,,,,,,,,,,
4/22/2014,"The Sharp Companies d/b/a Volunteer Drywall, Rockwood, TN 37854",Worker killed after falling from scaffold.,Fatality,,,,,,,,,,,,,,
4/21/2014,"Crown Roofing LLC, Lakewood Ranch, FL 34202",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
4/21/2014,"Isla Restoration, South Padre Island, TX 78597",Worker killed in fall through skywalk.,Fatality,,,,,,,,,,,,,,
4/21/2014,"Medinilla Carpentry, LLC, Fishers, IN 46038",Worker died in fall from ladder.,Fatality,,,,,,,,,,,,,,
4/21/2014,"Southern Draw Dairy and Farm, Clovis, NM 88101    ",Worker crushed by wheel loader carrying bales of hay.,Fatality,,,,,,,,,,,,,,
4/21/2014,"Storage Room, Inc. dba Storage Castle, Honolulu, HI 96819",Worker strukc and killed by wall panels.,Fatality,,,,,,,,,,,,,,
4/21/2014,"Vonderhaar Farm, Camden, OH 45311",Worker crushed between tractor and concrete.,Fatality,,,,,,,,,,,,,,
4/20/2014,"Leslie County Fiscal Court Hyden, KY 41749",Worker died from E-Coli contamination after being sprayed by raw sewage from sewer line.,Fatality,,,,,,,,,,,,,,
4/20/2014,"Sidewinder Drilling, Rankin, TX 79778",Worker caught and crushed in drilling machine.,Fatality,,,,,,,,,,,,,,
4/18/2014,"Four Star Construction, DUMAS, TX 79029",Worker killed after being thrown from and struck by vehicle.,Fatality,,,,,,,,,,,,,,
4/17/2014,"Banes Roofing Inc., Norristown, PA 19401",Worker killed in roof fall.,Fatality,,,,,,,,,,,,,,
4/17/2014,"Hafenstine Construction Company, ALMA, KS 66401",Worker struck and killed by track hoe.,Fatality,,,,,,,,,,,,,,
4/17/2014,"Hermanos Grading, Inc. dba Ortega Construction, Corona, CA 92881",Worker fatally crushed by a loader machine.,Fatality,,,,,,,,,,,,,,
4/17/2014,"Juan Garcia, Bedford, TX 76021",Employee killed in fall from roof.,Fatality,,,,,,,,,,,,,,
4/17/2014,"Korum Automotive Group, Inc., Puyallup, WA 98371",Worker killed by speeding vehicle.,Fatality,,,,,,,,,,,,,,
4/17/2014,"Labor Ready Southeast Inc., Saint Augustine, FL 32084",Temporary worker killed in fall from sanitation truck.      ,Fatality,,,,,,,,,,,,,,
4/17/2014,"Madrid Drywall LLC, Mesquite, TX 75150",Worker installing ceiling tiles died in fall from scaffold.,Fatality,,,,,,,,,,,,,,
4/16/2014,"Evergreen Caissons Inc., Greeley, CO 80632",Employee killed in vehicle crash.,Fatality,,,,,,,,,,,,,,
4/16/2014,"Fricke Farm Service, Inc., Ruth, MI 48470",Worker killed in fall from a grain elevator catwalk.,Fatality,,,,,,,,,,,,,,
4/16/2014,"MAG Construction Group LLC, Orlando, FL 32808",Worker died after falling from roof.   ,Fatality,,,,,,,,,,,,,,
4/16/2014,"P&J Grading, Inc., Matthews, NC  28104     ",Worker struck and killed by tree.,Fatality,,,,,,,,,,,,,,
4/16/2014,"Rio Ammunition, Inc., McEwen, TN 37101",Worker killed and three others injured in explosion that occurred during cartridge loading operations.,Fatality,,,,,,,,,,,,,,
4/15/2014,"S & S Sprinkler Company LLC, Pennington, AL 36916",Worker died after falling from catwalk.,Fatality,,,,,,,,,,,,,,
